date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:13	67/67	---MC-	200	added ('OK')	text/plain	date:Tue,%2002%20Apr%202019%2013:16:11%20GMT	http://ecd-sartrouville.fr/robots.txt		(from )
15:16:13	81344/81344	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:16:12%20GMT	http://ecd-sartrouville.fr/	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/index.html	(from )
15:16:14	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2002%20Apr%202019%2013:16:12%20GMT	http://ecd-sartrouville.fr/xmlrpc.php	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/xmlrpc.php	(from http://ecd-sartrouville.fr/)
15:16:14	1995/1995	---M--	200	added ('OK')	image/png	etag:%227cb-5266951b82f00%22	http://ecd-sartrouville.fr/wp-content/uploads/2015/12/16.png	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2015/12/16.png	(from http://ecd-sartrouville.fr/)
15:16:14	8208/8208	---M--	200	added ('OK')	image/png	etag:%222010-5266944c906c0%22	http://ecd-sartrouville.fr/wp-content/uploads/2015/12/60x60.png	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2015/12/60x60.png	(from http://ecd-sartrouville.fr/)
15:16:14	10891/10891	---M--	200	added ('OK')	image/png	etag:%222a8b-5266945ade880%22	http://ecd-sartrouville.fr/wp-content/uploads/2015/12/76x76.png	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2015/12/76x76.png	(from http://ecd-sartrouville.fr/)
15:16:15	19135/19135	---M--	200	added ('OK')	image/png	etag:%224abf-5266946650380%22	http://ecd-sartrouville.fr/wp-content/uploads/2015/12/120x120.png	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2015/12/120x120.png	(from http://ecd-sartrouville.fr/)
15:16:16	756/756	---MC-	200	added ('OK')	application/rss+xml	etag:%22987af3e0955a7a0bd96b371df3e6986e%22	http://ecd-sartrouville.fr/comments/feed	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/comments/feed	(from http://ecd-sartrouville.fr/)
15:16:17	733/733	---MC-	200	added ('OK')	application/rss+xml	etag:%223208ea35754d3bd65ce2f395ad8b8cd0%22	http://ecd-sartrouville.fr/home/feed	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/home/feed	(from http://ecd-sartrouville.fr/)
15:16:17	1743/1743	---M--	200	added ('OK')	text/css	etag:%226cf-5798cc0962140%22	http://ecd-sartrouville.fr/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.5	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/plugins/contact-form-7/includes/css/styles1748.css	(from http://ecd-sartrouville.fr/)
